country code,country,indicator,est_mean,est_low,est_high,est_median
RWA,Rwanda,perc_pop_lowIncid,6.94,0,50.95,0
SDN,Sudan,cases,1528.638216,0,5890.619872,NA
SDN,Sudan,rate_10k,0.377,0,1.45328,NA
SDN,Sudan,perc_pop_highIncid,0.23,0,1.25,0
SDN,Sudan,perc_pop_medIncid,1.56,0,7.68,0.03
SDN,Sudan,perc_pop_lowIncid,5.83,0,24.62,0.96
SEN,Senegal,cases,3.071226105,0,13.34059618,NA
SEN,Senegal,rate_10k,0.0019399999999999999,0,0.00842,NA
SEN,Senegal,perc_pop_highIncid,0,0,0.02,0
SEN,Senegal,perc_pop_medIncid,0.02,0,0.25,0
SEN,Senegal,perc_pop_lowIncid,0.21,0,2.21,0
SLE,Sierra Leone,cases,0.744599046,4.83e-72,0.36281783,NA
SLE,Sierra Leone,rate_10k,9.83e-4,6.380000000000001e-75,4.79e-4,NA
SLE,Sierra Leone,perc_pop_highIncid,0,0,0,0
SLE,Sierra Leone,perc_pop_medIncid,0.01,0,0,0
SLE,Sierra Leone,perc_pop_lowIncid,0.03,0,0.24,0
SOM,Somalia,cases,22495.72634,4940.453132,76886.96863,NA
SOM,Somalia,rate_10k,15.25907,3.35116,52.1532,NA
SOM,Somalia,perc_pop_highIncid,24.55,10.27,45.34,20.22
SOM,Somalia,perc_pop_medIncid,23.09,17.07,29.4,22.54
SOM,Somalia,perc_pop_lowIncid,19.03,15.6,22.25,18.91
SSD,South Sudan,cases,6266.384633,0.00231891,19240.60553,NA
SSD,South Sudan,rate_10k,4.9829300000000005,1.8400000000000002e-6,15.299809999999999,NA
SSD,South Sudan,perc_pop_highIncid,6.09,0,14.35,7.42
SSD,South Sudan,perc_pop_medIncid,4.54,0,10.14,6.13
SSD,South Sudan,perc_pop_lowIncid,5.59,0,11.9,8
SWZ,Eswatini,cases,0,0,0,NA
SWZ,Eswatini,rate_10k,0,0,0,NA
SWZ,Eswatini,perc_pop_highIncid,NA,NA,NA,NA
SWZ,Eswatini,perc_pop_medIncid,NA,NA,NA,NA
SWZ,Eswatini,perc_pop_lowIncid,NA,NA,NA,NA
TCD,Chad,cases,357.6622955,6.16331e-4,1604.27646,NA
TCD,Chad,rate_10k,0.24000000000000002,4.1400000000000003e-7,1.0767,NA
TCD,Chad,perc_pop_highIncid,0.29,0,1.5,0
TCD,Chad,perc_pop_medIncid,0.52,0,1.92,0
TCD,Chad,perc_pop_lowIncid,0.52,0,1.92,0.01
TGO,Togo,cases,9.180302708,1.2899999999999999e-38,58.65523818,NA
TGO,Togo,rate_10k,0.0118,1.6599999999999997e-41,0.0752,NA
TGO,Togo,perc_pop_highIncid,0.01,0,0,0
TGO,Togo,perc_pop_medIncid,0.22,0,1.53,0
TGO,Togo,perc_pop_lowIncid,2.09,0,11.67,0.1
TZA,Tanzania (incl Zanzibar),cases,12172.12274,2254.379226,34169.65523,NA
TZA,Tanzania (incl Zanzibar),rate_10k,2.12391,0.393,5.96225,NA
TZA,Tanzania (incl Zanzibar),perc_pop_highIncid,3.69,0.03,12.13,1.9
TZA,Tanzania (incl Zanzibar),perc_pop_medIncid,9.22,2.06,14.91,11.9
TZA,Tanzania (incl Zanzibar),perc_pop_lowIncid,13.15,1.09,27.95,13.13
TZA_M,Tanzania mainland,cases,11281.09011,2254.379226,33164.74657,NA
TZA_M,Tanzania mainland,rate_10k,1.9922,0.39799999999999996,5.856770000000001,NA
TZA_M,Tanzania mainland,perc_pop_highIncid,3.63,0.02,12.22,1.85
TZA_M,Tanzania mainland,perc_pop_medIncid,6.87,0.25,14.04,5.19
TZA_M,Tanzania mainland,perc_pop_lowIncid,12.8,0.49,28.16,13.23
UGA,Uganda,cases,1699.355781,485.4122327,3797.958956,NA
UGA,Uganda,rate_10k,0.396,0.113,0.886,NA
UGA,Uganda,perc_pop_highIncid,0.57,0.1,1.28,0.62
UGA,Uganda,perc_pop_medIncid,5.5,0.96,14.33,5.1
UGA,Uganda,perc_pop_lowIncid,14.82,9,17.19,15.89
ZAF,South Africa,cases,0,0,0,NA
ZAF,South Africa,rate_10k,0,0,0,NA
ZAF,South Africa,perc_pop_highIncid,NA,NA,NA,NA
ZAF,South Africa,perc_pop_medIncid,NA,NA,NA,NA
ZAF,South Africa,perc_pop_lowIncid,NA,NA,NA,NA
ZMB,Zambia,cases,1887.468529,30.99037771,4200.755506,NA
ZMB,Zambia,rate_10k,1.10416,0.0181,2.45743,NA
ZMB,Zambia,perc_pop_highIncid,4.58,0,11.51,0.16
ZMB,Zambia,perc_pop_medIncid,5.8,0.02,12.79,2.88
ZMB,Zambia,perc_pop_lowIncid,7.98,3.11,11.89,8.31
ZWE,Zimbabwe,cases,2192.285547,0,10825.57973,NA
ZWE,Zimbabwe,rate_10k,1.3262500000000002,0,6.54909,NA
ZWE,Zimbabwe,perc_pop_highIncid,2.28,0,13.05,0
ZWE,Zimbabwe,perc_pop_medIncid,2.7,0,15.39,0.05
ZWE,Zimbabwe,perc_pop_lowIncid,11.71,0,40.32,8.74
